YEAR,STATE,COUNTY,total_population,total_white,total_free_black,total_slave
1850,Connecticut,New London,51821,50313,1508,0
1850,Connecticut,Tolland,20091,19946,145,0
1850,Connecticut,Windham,31081,30506,575,0
1850,Delaware,Kent,22816,16084,6385,347
1850,Delaware,New Castle,42780,34765,7621,394
1850,Delaware,Sussex,25936,20320,4067,1549
1850,District Of Columbia,Georgetown,8366,6080,1561,725
1850,District Of Columbia,Rural Washington county,3320,2131,340,849
1850,District Of Columbia,Washington City,40001,29730,8158,2113
1850,Florida,Alachua,2524,1617,1,906
1850,Florida,Benton,926,604,0,322
1850,Florida,Calhoun,1377,886,38,453
1850,Florida,Columbia,4808,3541,1,1266
1850,Florida,Dade,159,147,1,11
1850,Florida,Duval,4539,2338,95,2106
1850,Florida,Escambia,4351,2644,375,1332
1850,Florida,Franklin,1561,1184,0,377
1850,Florida,Gadsden,8784,3897,7,4880
1850,Florida,Hamilton,2511,1817,9,685
1850,Florida,Hillsborough,2377,1706,11,660
1850,Florida,Holmes,1205,1037,5,163
1850,Florida,Jackson,6639,3075,30,3534
1850,Florida,Jefferson,7718,2775,5,4938
1850,Florida,Leon,11442,3183,56,8203
1850,Florida,Levy,465,320,0,145
1850,Florida,Madison,5490,2802,0,2688
1850,Florida,Marion,3338,2068,1,1269
1850,Florida,Monroe,2645,2088,126,431
1850,Florida,Nassau,2164,1061,26,1077
1850,Florida,Orange,466,238,2,226
1850,Florida,Putnam,687,473,10,204
1850,Florida,St Johns,2525,1417,115,993
1850,Florida,St Lucie (old),139,111,1,27
1850,Florida,Santa Rosa,2883,2095,4,784
1850,Florida,Wakulla,1955,1164,1,790
1850,Florida,Walton,1817,1481,0,336
1850,Florida,Washington,1950,1434,12,504
1850,Georgia,Appling,2949,2520,25,404
1850,Georgia,Baker,8120,4351,4,3765
1850,Georgia,Baldwin,8148,3519,27,4602
1850,Georgia,Bibb,12699,7009,53,5637
1850,Georgia,Bryan,3424,1164,15,2245
1850,Georgia,Bulloch,4300,2840,0,1460
1850,Georgia,Burke,16100,5118,150,10832
1850,Georgia,Butts,6488,3680,3,2805
1850,Georgia,Camden,6319,2069,4,4246
1850,Georgia,Campbell,7232,5718,7,1507
1850,Georgia,Carroll,9357,8252,4,1101
1850,Georgia,Cass,13300,10271,21,3008
1850,Georgia,Cass-Cordon [multi-county reporting area],,,,
1850,Georgia,Chatham,23901,9152,731,14018
1850,Georgia,Chattooga,6815,5131,4,1680
1850,Georgia,Cherokee,12800,11630,13,1157
1850,Georgia,Clarke,11119,5513,17,5589
1850,Georgia,Clinch,637,506,2,129
1850,Georgia,Cobb,13843,11568,3,2272
1850,Georgia,Columbia,11961,3617,72,8272
1850,Georgia,Coweta,13635,8202,18,5415
1850,Georgia,Crawford,8984,4342,13,4629
1850,Georgia,Dade,2680,2532,0,148
1850,Georgia,Decatur,8262,4618,5,3639
1850,Georgia,DeKalb,14328,11372,32,2924
1850,Georgia,Dooly,8361,5580,6,2775
1850,Georgia,Early,7246,3716,1,3529
1850,Georgia,Effingham,3864,2007,9,1848
1850,Georgia,Elbert,12959,6676,16,6267
1850,Georgia,Emanuel,4577,3591,24,962
1850,Georgia,Fayette,8709,6741,3,1965
1850,Georgia,Floyd,8205,5202,4,2999
1850,Georgia,Forsyth,8850,7812,11,1027
1850,Georgia,Franklin,11513,9076,55,2382
1850,Georgia,Gilmer,8440,8236,4,200
1850,Georgia,Glynn,4933,696,5,4232
1850,Georgia,Gordon,5984,5156,0,828
1850,Georgia,Greene,13068,4744,58,8266
1850,Georgia,Gwinnett,11257,8952,11,2294
1850,Georgia,Habersham,8895,7675,2,1218
1850,Georgia,Hall,8713,7370,7,1336
1850,Georgia,Hancock,11578,4210,62,7306
1850,Georgia,Harris,14721,6709,30,7982
1850,Georgia,Heard,6923,4520,3,2400
1850,Georgia,Henry,14726,9742,15,4969
1850,Georgia,Houston,16450,6510,16,9924
1850,Georgia,Irwin,3334,2883,1,450
1850,Georgia,Jackson,9768,6808,19,2941
1850,Georgia,Jasper,11486,4321,31,7134
1850,Georgia,Jefferson,9131,3717,47,5367
1850,Georgia,Jones,10224,3899,46,6279
1850,Georgia,Laurens,6442,3459,9,2974
1850,Georgia,Lee,6660,3025,8,3627
1850,Georgia,Liberty,7926,2002,16,5908
1850,Georgia,Lincoln,5998,2187,31,3780
1850,Georgia,Lowndes,7714,5339,20,2355
1850,Georgia,Lumpkin,8955,7995,21,939
1850,Georgia,McIntosh,6027,1326,72,4629
1850,Georgia,Macon,7052,4088,3,2961
1850,Georgia,Madison,5703,3763,7,1933
1850,Georgia,Marion,10280,6667,9,3604
1850,Georgia,Meriwether,16476,8481,2,7993
1850,Georgia,Monroe,16985,6810,5,10170
1850,Georgia,Montgomery,2154,1541,0,613
1850,Georgia,Morgan,10744,3634,16,7094
1850,Georgia,Murray,14433,12492,11,1930
1850,Georgia,Muscogee,18578,10355,67,8156
1850,Georgia,Newton,13296,8077,32,5187
1850,Georgia,Oglethorpe,12259,4382,3,7874
1850,Georgia,Paulding,7039,5560,2,1477
1850,Georgia,Pike,14306,8686,62,5558
1850,Georgia,Pulaski,6627,3784,39,2804
1850,Georgia,Putnam,10794,3300,26,7468
1850,Georgia,Rabun,2448,2338,0,110
1850,Georgia,Randolph,12868,7857,3,5008
1850,Georgia,Richmond,16246,8153,281,7812
1850,Georgia,Screven,6847,3173,1,3673
1850,Georgia,Stewart,16027,8649,5,7373
1850,Georgia,Sumter,10322,6469,18,3835
1850,Georgia,Talbot,16534,7793,18,8723
1850,Georgia,Taliaferro,5146,2051,51,3044
1850,Georgia,Tattnall,3227,2378,18,831
1850,Georgia,Telfair,3026,2096,0,930
1850,Georgia,Thomas,10103,4943,4,5156
1850,Georgia,Troup,16879,7791,40,9048
1850,Georgia,Twiggs,8179,3517,42,4620
1850,Georgia,Union,7234,6955,1,278
1850,Georgia,Upson,9424,4720,0,4704
1850,Georgia,Walker,13109,11408,37,1664
1850,Georgia,Walton,10821,6895,17,3909
1850,Georgia,Ware,3888,3597,3,288
1850,Georgia,Warren,12425,6158,159,6108
1850,Georgia,Washington,11766,5991,37,5738
1850,Georgia,Wayne,1499,1088,5,406
1850,Georgia,Wilkes,12107,3805,21,8281
1850,Georgia,Wilkinson,8296,5551,0,2745
1850,Illinois,Adams,26508,26369,139,0
1850,Illinois,Alexander,2484,2464,20,0
1850,Illinois,Bond,6144,6136,8,0
1850,Illinois,Boone,7624,7618,6,0
1850,Illinois,Brown,7198,7182,16,0
1850,Illinois,Bureau,8841,8831,10,0
1850,Illinois,Calhoun,3231,3230,1,0
1850,Illinois,Carroll,4586,4583,3,0
1850,Illinois,Cass,7253,7248,5,0
1850,Illinois,Champaign,2649,2647,2,0
1850,Illinois,Christian,3203,3203,0,0
1850,Illinois,Clark,9532,9494,38,0
1850,Illinois,Clay,4289,4268,21,0
1850,Illinois,Clinton,5139,5002,137,0
1850,Illinois,Coles,9335,9299,36,0
1850,Illinois,Cook,43385,43007,378,0
