GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G0500870,1870,Arkansas,50,Madison,870,Madison,8231
G0500890,1870,Arkansas,50,Marion,890,Marion,3979
G0500930,1870,Arkansas,50,Mississippi,930,Mississippi,3633
G0500950,1870,Arkansas,50,Monroe,950,Monroe,8336
G0500970,1870,Arkansas,50,Montgomery,970,Montgomery,2984
G0501010,1870,Arkansas,50,Newton,1010,Newton,4374
G0501030,1870,Arkansas,50,Ouachita,1030,Ouachita,12975
G0501050,1870,Arkansas,50,Perry,1050,Perry,2685
G0501070,1870,Arkansas,50,Phillips,1070,Phillips,15372
G0501090,1870,Arkansas,50,Pike,1090,Pike,3788
G0501110,1870,Arkansas,50,Poinsett,1110,Poinsett,1720
G0501130,1870,Arkansas,50,Polk,1130,Polk,3376
G0501150,1870,Arkansas,50,Pope,1150,Pope,8386
G0501170,1870,Arkansas,50,Prairie,1170,Prairie,5604
G0501190,1870,Arkansas,50,Pulaski,1190,Pulaski,32066
G0501210,1870,Arkansas,50,Randolph,1210,Randolph,7466
G0501230,1870,Arkansas,50,St Francis,1230,St Francis,6714
G0501250,1870,Arkansas,50,Saline,1250,Saline,3911
G0501270,1870,Arkansas,50,Scott,1270,Scott,7483
G0501290,1870,Arkansas,50,Searcy,1290,Searcy,5614
G0501310,1870,Arkansas,50,Sebastian,1310,Sebastian,12940
G0501330,1870,Arkansas,50,Sevier,1330,Sevier,4492
G0501350,1870,Arkansas,50,Sharp,1350,Sharp,5400
G0501390,1870,Arkansas,50,Union,1390,Union,10571
G0501410,1870,Arkansas,50,Van Buren,1410,Van Buren,5107
G0501430,1870,Arkansas,50,Washington,1430,Washington,17266
G0501450,1870,Arkansas,50,White,1450,White,10347
G0501470,1870,Arkansas,50,Woodruff,1470,Woodruff,6891
G0501490,1870,Arkansas,50,Yell,1490,Yell,8048
G0600010,1870,California,60,Alameda,10,Alameda,24237
G0600030,1870,California,60,Alpine,30,Alpine,685
G0600050,1870,California,60,Amador,50,Amador,9582
G0600070,1870,California,60,Butte,70,Butte,11403
G0600090,1870,California,60,Calaveras,90,Calaveras,8895
G0600110,1870,California,60,Colusa,110,Colusa,6165
G0600130,1870,California,60,Contra Costa,130,Contra Costa,8461
G0600150,1870,California,60,Del Norte,150,Del Norte,2022
G0600170,1870,California,60,El Dorado,170,El Dorado,10309
G0600190,1870,California,60,Fresno,190,Fresno,6336
G0600230,1870,California,60,Humboldt,230,Humboldt,6140
G0600270,1870,California,60,Inyo,270,Inyo,1956
G0600290,1870,California,60,Kern,290,Kern,2925
G0600315,1870,California,60,Klamath,315,Klamath,1686
G0600330,1870,California,60,Lake,330,Lake,2969
G0600350,1870,California,60,Lassen,350,Lassen,1327
