YEAR,STATE,COUNTY,total_population
1860,Alabama,Autauga,16739
1860,Alabama,Baldwin,7530
1860,Alabama,Barbour,30812
1860,Alabama,Bibb,11894
1860,Alabama,Blount,10865
1860,Alabama,Butler,18122
1860,Alabama,Calhoun,21539
1860,Alabama,Chambers,23214
1860,Alabama,Cherokee,18360
1860,Alabama,Choctaw,13877
1860,Alabama,Clarke,15049
1860,Alabama,Coffee,9623
1860,Alabama,Conecuh,11311
1860,Alabama,Coosa,19273
1860,Alabama,Covington,6469
1860,Alabama,Dale,12197
1860,Alabama,Dallas,33625
1860,Alabama,DeKalb,10705
1860,Alabama,Fayette,12850
1860,Alabama,Franklin,18627
1860,Alabama,Greene,30859
1860,Alabama,Henry,14918
1860,Alabama,Jackson,18283
1860,Alabama,Jefferson,11746
1860,Alabama,Lauderdale,17420
1860,Alabama,Lawrence,13975
1860,Alabama,Limestone,15306
1860,Alabama,Lowndes,27716
1860,Alabama,Macon,26802
1860,Alabama,Madison,26451
1860,Alabama,Marengo,31171
1860,Alabama,Marion,11182
1860,Alabama,Marshall,11472
1860,Alabama,Mobile,41131
1860,Alabama,Monroe,15667
1860,Alabama,Montgomery,35904
1860,Alabama,Morgan,11335
1860,Alabama,Perry,27724
1860,Alabama,Pickens,22316
1860,Alabama,Pike,24435
1860,Alabama,Randolph,20059
1860,Alabama,Russell,26592
1860,Alabama,St Clair,11013
1860,Alabama,Shelby,12618
1860,Alabama,Sumter,24035
1860,Alabama,Talladega,23520
1860,Alabama,Tallapoosa,23827
1860,Alabama,Tuscaloosa,23200
1860,Alabama,Walker,7980
1860,Alabama,Washington,4669
1860,Alabama,Wilcox,24618
1860,Alabama,Winston,3576
1860,Arkansas,Arkansas,8844
1860,Arkansas,Ashley,8590
1860,Arkansas,Benton,9306
1860,Arkansas,Bradley,8388
1860,Arkansas,Calhoun,4103
1860,Arkansas,Carroll,9383
1860,Arkansas,Chicot,9234
1860,Arkansas,Clark,9735
1860,Arkansas,Columbia,12449
1860,Arkansas,Conway,6697
1860,Arkansas,Craighead,3066
1860,Arkansas,Crawford,7850
1860,Arkansas,Crittenden,4920
1860,Arkansas,Dallas,8283
1860,Arkansas,Desha,6459
1860,Arkansas,Drew,9078
1860,Arkansas,Franklin,7298
1860,Arkansas,Fulton,4024
1860,Arkansas,Greene,5843
1860,Arkansas,Hempstead,13989
1860,Arkansas,Hot Spring,5635
1860,Arkansas,Independence,14307
1860,Arkansas,Izard,7215
1860,Arkansas,Jackson,10493
1860,Arkansas,Jefferson,14971
1860,Arkansas,Johnson,7612
1860,Arkansas,Lafayette,8464
1860,Arkansas,Lawrence,9372
1860,Arkansas,Madison,7740
1860,Arkansas,Marion,6192
1860,Arkansas,Mississippi,3895
1860,Arkansas,Monroe,5657
1860,Arkansas,Montgomery,3633
1860,Arkansas,Newton,3393
1860,Arkansas,Ouachita,12936
1860,Arkansas,Perry,2465
1860,Arkansas,Phillips,14877
1860,Arkansas,Pike,4025
1860,Arkansas,Poinsett,3621
1860,Arkansas,Polk,4262
1860,Arkansas,Pope,7883
1860,Arkansas,Prairie,8854
1860,Arkansas,Pulaski,11699
1860,Arkansas,Randolph,6261
1860,Arkansas,St Francis,8672
1860,Arkansas,Saline,6640
1860,Arkansas,Scott,5145
