YEAR,STATE,COUNTY,total_population
1870,Colorado Territory,Saguache,304
1870,Colorado Territory,Summit,258
1870,Colorado Territory,Weld,1636
1870,Connecticut,Fairfield,95276
1870,Connecticut,Hartford,109007
1870,Connecticut,Litchfield,48727
1870,Connecticut,Middlesex,36099
1870,Connecticut,New Haven,121257
1870,Connecticut,New London,66570
1870,Connecticut,Tolland,22000
1870,Connecticut,Windham,38518
1870,Dakota Territory,Bon Homme,608
1870,Dakota Territory,Brookings,163
1870,Dakota Territory,Buffalo,246
1870,Dakota Territory,Charles Mix,152
1870,Dakota Territory,Clay,2621
1870,Dakota Territory,Deuel,37
1870,Dakota Territory,Hutchinson,37
1870,Dakota Territory,Jayne,5
1870,Dakota Territory,Lincoln,712
1870,Dakota Territory,Minnehaha,355
1870,Dakota Territory,Pembina,1213
1870,Dakota Territory,Todd,337
1870,Dakota Territory,Union,3507
1870,Dakota Territory,Unorganized Territory,2091
1870,Dakota Territory,Yankton,2097
1870,Delaware,Kent,29804
1870,Delaware,New Castle,63515
1870,Delaware,Sussex,31696
1870,District Of Columbia,District Of Columbia,131700
1870,Florida,Alachua,17328
1870,Florida,Baker,1325
1870,Florida,Bradford,3671
1870,Florida,Brevard,1216
1870,Florida,Calhoun,998
1870,Florida,Clay,2098
1870,Florida,Columbia,7335
1870,Florida,Dade,85
1870,Florida,Duval,11921
1870,Florida,Escambia,7817
1870,Florida,Franklin,1256
1870,Florida,Gadsden,9802
1870,Florida,Hamilton,5749
1870,Florida,Hernando,2938
1870,Florida,Hillsborough,3216
1870,Florida,Holmes,1572
1870,Florida,Jackson,9528
1870,Florida,Jefferson,13398
1870,Florida,Lafayette,1783
1870,Florida,Leon,15236
1870,Florida,Levy,2018
1870,Florida,Liberty,1050
1870,Florida,Madison,11121
1870,Florida,Manatee,1931
1870,Florida,Marion,10804
1870,Florida,Monroe,5657
1870,Florida,Nassau,4247
1870,Florida,Orange,2195
1870,Florida,Polk,3169
1870,Florida,Putnam,3821
1870,Florida,St Johns,2618
1870,Florida,Santa Rosa,3312
1870,Florida,Sumter,2952
1870,Florida,Suwannee,3556
1870,Florida,Taylor,1453
1870,Florida,Volusia,1723
1870,Florida,Wakulla,2506
1870,Florida,Walton,3041
1870,Florida,Washington,2302
1870,Georgia,Appling,5086
1870,Georgia,Baker,6843
1870,Georgia,Baldwin,10618
1870,Georgia,Banks,4973
1870,Georgia,Bartow,16566
1870,Georgia,Berrien,4518
1870,Georgia,Bibb,21255
1870,Georgia,Brooks,8342
1870,Georgia,Bryan,5252
1870,Georgia,Bulloch,5610
1870,Georgia,Burke,17679
1870,Georgia,Butts,6941
1870,Georgia,Calhoun,5503
1870,Georgia,Camden,4615
1870,Georgia,Campbell,9176
1870,Georgia,Carroll,11782
1870,Georgia,Catoosa,4409
1870,Georgia,Charlton,1897
1870,Georgia,Chatham,41279
1870,Georgia,Chattahoochee,6059
1870,Georgia,Chattooga,6902
1870,Georgia,Cherokee,10399
1870,Georgia,Clarke,12941
1870,Georgia,Clay,5493
1870,Georgia,Clayton,5477
1870,Georgia,Clinch,3945
1870,Georgia,Cobb,13814
1870,Georgia,Coffee,3192
1870,Georgia,Colquitt,1654
