GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1950","Alabama","010",,"Alabama",49
"G040","1950","Arizona","040",,"Arizona",18
"G050","1950","Arkansas","050",,"Arkansas",60
"G060","1950","California","060",,"California",162
"G080","1950","Colorado","080",,"Colorado",33
"G090","1950","Connecticut","090",,"Connecticut",248
"G100","1950","Delaware","100",,"Delaware",114
"G120","1950","Florida","120",,"Florida",57
"G130","1950","Georgia","130",,"Georgia",43
"G160","1950","Idaho","160",,"Idaho",73
"G170","1950","Illinois","170",,"Illinois",174
"G180","1950","Indiana","180",,"Indiana",137
"G190","1950","Iowa","190",,"Iowa",161
"G200","1950","Kansas","200",,"Kansas",66
"G210","1950","Kentucky","210",,"Kentucky",81
"G220","1950","Louisiana","220",,"Louisianna",82
"G230","1950","Maine","230",,"Maine",54
"G240","1950","Maryland","240",,"Maryland",125
"G250","1950","Massachusetts","250",,"Massachusetts",190
"G260","1950","Michigan","260",,"Michigan",99
"G270","1950","Minnesota","270",,"Minnesota",84
"G280","1950","Mississippi","280",,"Mississippi",55
"G290","1950","Missouri","290",,"Missouri",64
"G300","1950","Montana","300",,"Montana",17
"G310","1950","Nebraska","310",,"Nebraska",58
"G320","1950","Nevada","320",,"Nevada",23
"G330","1950","New Hampshire","330",,"New Hampshire",73
"G340","1950","New Jersey","340",,"New Jersey",293
"G350","1950","New Mexico","350",,"New Mexico",16
"G360","1950","New York","360",,"New York",92
"G370","1950","North Carolina","370",,"North Carolina",99
"G380","1950","North Dakota","380",,"North Dakota",29
"G390","1950","Ohio","390",,"Ohio",136
"G400","1950","Oklahoma","400",,"Oklahoma",51
"G410","1950","Oregon","410",,"Oregon",63
"G420","1950","Pennsylvania","420",,"Pennsylvania",107
"G440","1950","Rhode Island","440",,"Rhode Island",230
"G450","1950","South Carolina","450",,"South Carolina",69
"G460","1950","South Dakota","460",,"South Dakota",31
"G470","1950","Tennessee","470",,"Tennessee",77
"G480","1950","Texas","480",,"Texas",46
"G490","1950","Utah","490",,"Utah",48
"G500","1950","Vermont","500",,"Vermont",56
"G510","1950","Virginia","510",,"Virginia",82
"G530","1950","Washington","530",,"Washington",87
"G540","1950","West Virginia","540",,"West Virginia",59
"G550","1950","Wisconsin","550",,"Wisconsin",89
"G560","1950","Wyoming","560",,"Wyoming",14
