GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1925","Alabama","010",,"Alabama",25
"G040","1925","Arizona","040",,"Arizona",13
"G050","1925","Arkansas","050",,"Arkansas",35
"G060","1925","California","060",,"California",115
"G080","1925","Colorado","080",,"Colorado",25
"G090","1925","Connecticut","090",,"Connecticut",110
"G100","1925","Delaware","100",,"Delaware",66
"G120","1925","Florida","120",,"Florida",82
"G130","1925","Georgia","130",,"Georgia",27
"G160","1925","Idaho","160",,"Idaho",46
"G170","1925","Illinois","170",,"Illinois",137
"G180","1925","Indiana","180",,"Indiana",85
"G190","1925","Iowa","190",,"Iowa",149
"G200","1925","Kansas","200",,"Kansas",50
"G210","1925","Kentucky","210",,"Kentucky",43
"G220","1925","Louisiana","220",,"Louisianna",37
"G230","1925","Maine","230",,"Maine",38
"G240","1925","Maryland","240",,"Maryland",77
"G250","1925","Massachusetts","250",,"Massachusetts",108
"G260","1925","Michigan","260",,"Michigan",71
"G270","1925","Minnesota","270",,"Minnesota",80
"G280","1925","Mississippi","280",,"Mississippi",29
"G290","1925","Missouri","290",,"Missouri",61
"G300","1925","Montana","300",,"Montana",14
"G310","1925","Nebraska","310",,"Nebraska",60
"G320","1925","Nevada","320",,"Nevada",17
"G330","1925","New Hampshire","330",,"New Hampshire",38
"G340","1925","New Jersey","340",,"New Jersey",136
"G350","1925","New Mexico","350",,"New Mexico",6
"G360","1925","New York","360",,"New York",71
"G370","1925","North Carolina","370",,"North Carolina",50
"G380","1925","North Dakota","380",,"North Dakota",30
"G390","1925","Ohio","390",,"Ohio",88
"G400","1925","Oklahoma","400",,"Oklahoma",34
"G410","1925","Oregon","410",,"Oregon",44
"G420","1925","Pennsylvania","420",,"Pennsylvania",72
"G440","1925","Rhode Island","440",,"Rhode Island",90
"G450","1925","South Carolina","450",,"South Carolina",43
"G460","1925","South Dakota","460",,"South Dakota",45
"G470","1925","Tennessee","470",,"Tennessee",42
"G480","1925","Texas","480",,"Texas",28
"G490","1925","Utah","490",,"Utah",38
"G500","1925","Vermont","500",,"Vermont",35
"G510","1925","Virginia","510",,"Virginia",52
"G530","1925","Washington","530",,"Washington",58
"G540","1925","West Virginia","540",,"West Virginia",40
"G550","1925","Wisconsin","550",,"Wisconsin",87
"G560","1925","Wyoming","560",,"Wyoming",9
