GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1945","Alabama","010",,"Alabama",29
"G040","1945","Arizona","040",,"Arizona",8
"G050","1945","Arkansas","050",,"Arkansas",38
"G060","1945","California","060",,"California",99
"G080","1945","Colorado","080",,"Colorado",16
"G090","1945","Connecticut","090",,"Connecticut",165
"G100","1945","Delaware","100",,"Delaware",79
"G120","1945","Florida","120",,"Florida",38
"G130","1945","Georgia","130",,"Georgia",28
"G160","1945","Idaho","160",,"Idaho",39
"G170","1945","Illinois","170",,"Illinois",116
"G180","1945","Indiana","180",,"Indiana",90
"G190","1945","Iowa","190",,"Iowa",105
"G200","1945","Kansas","200",,"Kansas",41
"G210","1945","Kentucky","210",,"Kentucky",52
"G220","1945","Louisiana","220",,"Louisianna",47
"G230","1945","Maine","230",,"Maine",35
"G240","1945","Maryland","240",,"Maryland",84
"G250","1945","Massachusetts","250",,"Massachusetts",128
"G260","1945","Michigan","260",,"Michigan",65
"G270","1945","Minnesota","270",,"Minnesota",55
"G280","1945","Mississippi","280",,"Mississippi",33
"G290","1945","Missouri","290",,"Missouri",43
"G300","1945","Montana","300",,"Montana",9
"G310","1945","Nebraska","310",,"Nebraska",36
"G320","1945","Nevada","320",,"Nevada",12
"G330","1945","New Hampshire","330",,"New Hampshire",40
"G340","1945","New Jersey","340",,"New Jersey",161
"G350","1945","New Mexico","350",,"New Mexico",7
"G360","1945","New York","360",,"New York",62
"G370","1945","North Carolina","370",,"North Carolina",54
"G380","1945","North Dakota","380",,"North Dakota",17
"G390","1945","Ohio","390",,"Ohio",85
"G400","1945","Oklahoma","400",,"Oklahoma",31
"G410","1945","Oregon","410",,"Oregon",35
"G420","1945","Pennsylvania","420",,"Pennsylvania",67
"G440","1945","Rhode Island","440",,"Rhode Island",135
"G450","1945","South Carolina","450",,"South Carolina",40
"G460","1945","South Dakota","460",,"South Dakota",18
"G470","1945","Tennessee","470",,"Tennessee",49
"G480","1945","Texas","480",,"Texas",25
"G490","1945","Utah","490",,"Utah",25
"G500","1945","Vermont","500",,"Vermont",34
"G510","1945","Virginia","510",,"Virginia",53
"G530","1945","Washington","530",,"Washington",54
"G540","1945","West Virginia","540",,"West Virginia",39
"G550","1945","Wisconsin","550",,"Wisconsin",61
"G560","1945","Wyoming","560",,"Wyoming",7
