GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1930","Alabama","010",,"Alabama",29
"G040","1930","Arizona","040",,"Arizona",18
"G050","1930","Arkansas","050",,"Arkansas",34
"G060","1930","California","060",,"California",112
"G080","1930","Colorado","080",,"Colorado",22
"G090","1930","Connecticut","090",,"Connecticut",151
"G100","1930","Delaware","100",,"Delaware",74
"G120","1930","Florida","120",,"Florida",84
"G130","1930","Georgia","130",,"Georgia",26
"G160","1930","Idaho","160",,"Idaho",45
"G170","1930","Illinois","170",,"Illinois",109
"G180","1930","Indiana","180",,"Indiana",72
"G190","1930","Iowa","190",,"Iowa",124
"G200","1930","Kansas","200",,"Kansas",49
"G210","1930","Kentucky","210",,"Kentucky",44
"G220","1930","Louisiana","220",,"Louisianna",45
"G230","1930","Maine","230",,"Maine",42
"G240","1930","Maryland","240",,"Maryland",81
"G250","1930","Massachusetts","250",,"Massachusetts",130
"G260","1930","Michigan","260",,"Michigan",68
"G270","1930","Minnesota","270",,"Minnesota",69
"G280","1930","Mississippi","280",,"Mississippi",33
"G290","1930","Missouri","290",,"Missouri",53
"G300","1930","Montana","300",,"Montana",12
"G310","1930","Nebraska","310",,"Nebraska",56
"G320","1930","Nevada","320",,"Nevada",16
"G330","1930","New Hampshire","330",,"New Hampshire",39
"G340","1930","New Jersey","340",,"New Jersey",170
"G350","1930","New Mexico","350",,"New Mexico",7
"G360","1930","New York","360",,"New York",73
"G370","1930","North Carolina","370",,"North Carolina",47
"G380","1930","North Dakota","380",,"North Dakota",25
"G390","1930","Ohio","390",,"Ohio",79
"G400","1930","Oklahoma","400",,"Oklahoma",37
"G410","1930","Oregon","410",,"Oregon",38
"G420","1930","Pennsylvania","420",,"Pennsylvania",79
"G440","1930","Rhode Island","440",,"Rhode Island",124
"G450","1930","South Carolina","450",,"South Carolina",36
"G460","1930","South Dakota","460",,"South Dakota",35
"G470","1930","Tennessee","470",,"Tennessee",41
"G480","1930","Texas","480",,"Texas",29
"G490","1930","Utah","490",,"Utah",39
"G500","1930","Vermont","500",,"Vermont",37
"G510","1930","Virginia","510",,"Virginia",51
"G530","1930","Washington","530",,"Washington",57
"G540","1930","West Virginia","540",,"West Virginia",39
"G550","1930","Wisconsin","550",,"Wisconsin",79
"G560","1930","Wyoming","560",,"Wyoming",9
