GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1954","Alabama","010",,"Alabama",58
"G040","1954","Arizona","040",,"Arizona",26
"G050","1954","Arkansas","050",,"Arkansas",77
"G060","1954","California","060",,"California",227
"G080","1954","Colorado","080",,"Colorado",40
"G090","1954","Connecticut","090",,"Connecticut",289
"G100","1954","Delaware","100",,"Delaware",157
"G120","1954","Florida","120",,"Florida",107
"G130","1954","Georgia","130",,"Georgia",60
"G160","1954","Idaho","160",,"Idaho",90
"G170","1954","Illinois","170",,"Illinois",230
"G180","1954","Indiana","180",,"Indiana",194
"G190","1954","Iowa","190",,"Iowa",199
"G200","1954","Kansas","200",,"Kansas",80
"G210","1954","Kentucky","210",,"Kentucky",95
"G220","1954","Louisiana","220",,"Louisianna",112
"G230","1954","Maine","230",,"Maine",61
"G240","1954","Maryland","240",,"Maryland",177
"G250","1954","Massachusetts","250",,"Massachusetts",224
"G260","1954","Michigan","260",,"Michigan",130
"G270","1954","Minnesota","270",,"Minnesota",106
"G280","1954","Mississippi","280",,"Mississippi",74
"G290","1954","Missouri","290",,"Missouri",79
"G300","1954","Montana","300",,"Montana",24
"G310","1954","Nebraska","310",,"Nebraska",72
"G320","1954","Nevada","320",,"Nevada",27
"G330","1954","New Hampshire","330",,"New Hampshire",86
"G340","1954","New Jersey","340",,"New Jersey",399
"G350","1954","New Mexico","350",,"New Mexico",21
"G360","1954","New York","360",,"New York",107
"G370","1954","North Carolina","370",,"North Carolina",128
"G380","1954","North Dakota","380",,"North Dakota",36
"G390","1954","Ohio","390",,"Ohio",185
"G400","1954","Oklahoma","400",,"Oklahoma",63
"G410","1954","Oregon","410",,"Oregon",78
"G420","1954","Pennsylvania","420",,"Pennsylvania",134
"G440","1954","Rhode Island","440",,"Rhode Island",309
"G450","1954","South Carolina","450",,"South Carolina",87
"G460","1954","South Dakota","460",,"South Dakota",39
"G470","1954","Tennessee","470",,"Tennessee",93
"G480","1954","Texas","480",,"Texas",62
"G490","1954","Utah","490",,"Utah",48
"G500","1954","Vermont","500",,"Vermont",61
"G510","1954","Virginia","510",,"Virginia",106
"G530","1954","Washington","530",,"Washington",115
"G540","1954","West Virginia","540",,"West Virginia",68
"G550","1954","Wisconsin","550",,"Wisconsin",101
"G560","1954","Wyoming","560",,"Wyoming",15
