GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1940","Alabama","010",,"Alabama",21
"G040","1940","Arizona","040",,"Arizona",6
"G050","1940","Arkansas","050",,"Arkansas",25
"G060","1940","California","060",,"California",71
"G080","1940","Colorado","080",,"Colorado",12
"G090","1940","Connecticut","090",,"Connecticut",135
"G100","1940","Delaware","100",,"Delaware",61
"G120","1940","Florida","120",,"Florida",39
"G130","1940","Georgia","130",,"Georgia",20
"G160","1940","Idaho","160",,"Idaho",33
"G170","1940","Illinois","170",,"Illinois",82
"G180","1940","Indiana","180",,"Indiana",63
"G190","1940","Iowa","190",,"Iowa",79
"G200","1940","Kansas","200",,"Kansas",30
"G210","1940","Kentucky","210",,"Kentucky",38
"G220","1940","Louisiana","220",,"Louisianna",35
"G230","1940","Maine","230",,"Maine",29
"G240","1940","Maryland","240",,"Maryland",65
"G250","1940","Massachusetts","250",,"Massachusetts",109
"G260","1940","Michigan","260",,"Michigan",51
"G270","1940","Minnesota","270",,"Minnesota",44
"G280","1940","Mississippi","280",,"Mississippi",25
"G290","1940","Missouri","290",,"Missouri",32
"G300","1940","Montana","300",,"Montana",8
"G310","1940","Nebraska","310",,"Nebraska",24
"G320","1940","Nevada","320",,"Nevada",13
"G330","1940","New Hampshire","330",,"New Hampshire",34
"G340","1940","New Jersey","340",,"New Jersey",122
"G350","1940","New Mexico","350",,"New Mexico",5
"G360","1940","New York","360",,"New York",55
"G370","1940","North Carolina","370",,"North Carolina",39
"G380","1940","North Dakota","380",,"North Dakota",13
"G390","1940","Ohio","390",,"Ohio",66
"G400","1940","Oklahoma","400",,"Oklahoma",24
"G410","1940","Oregon","410",,"Oregon",27
"G420","1940","Pennsylvania","420",,"Pennsylvania",59
"G440","1940","Rhode Island","440",,"Rhode Island",119
"G450","1940","South Carolina","450",,"South Carolina",30
"G460","1940","South Dakota","460",,"South Dakota",13
"G470","1940","Tennessee","470",,"Tennessee",36
"G480","1940","Texas","480",,"Texas",19
"G490","1940","Utah","490",,"Utah",21
"G500","1940","Vermont","500",,"Vermont",30
"G510","1940","Virginia","510",,"Virginia",41
"G530","1940","Washington","530",,"Washington",39
"G540","1940","West Virginia","540",,"West Virginia",30
"G550","1940","Wisconsin","550",,"Wisconsin",52
"G560","1940","Wyoming","560",,"Wyoming",6
