GISJOIN,YEAR,STATE,STATEA,AREANAME,AWM001,AWM002,AWM003,AWM004,AWM005,AWM006,AWM007,AWM008,AWM009,AWM010,AWM011,AWM012,AWM013,AWM014,AWM015,AWM016,AWM017,AWM018,AWM019,AWM020,AWM021,AWM022,AWM023,AWM024,AWM025,AWM026,AWM027,AWM028,AWM029,AWM030,AWM031,AWM032,AWM033,AWM034,AWM035,AWM036,AWM037,AWM038,AWM039,AWM040,AWM041,AWM042,AWM043,AWM044,AWM045,AWM046,AWM047,AWM048,AWM049,AWM050,AWM051,AWM052,AWM053,AWM054,AWM055,AWM056,AWM057,AWM058,AWM059,AWM060,AWM061,AWM062,AWM063,AWM064,AWM065,AWM066,AWM067,AWM068,AWM069,AWM070,AWM071,AWM072,AWM073,AWM074,AWM075,AWM076,AWM077,AWM078,AWM079,AWM080,AWM081,AWM082,AWM083,AWM084,AWM085,AWM086,AWM087,AWM088,AWM089,AWM090,AWM091,AWM092,AWM093,AWM094,AWM095,AWM096,AWM097,AWM098,AWM099,AWM100,AWM101,AWM102,AWM103,AWM104,AWM105,AWM106,AWM107,AWM108,AWN001,AWN002,AWN003,AWN004,AWN005,AWN006,AWN007,AWN008,AWN009,AWN010,AWN011,AWN012,AWN013,AWN014,AWN015,AWN016,AWN017,AWN018,AWN019,AWN020,AWN021,AWN022,AWN023,AWN024,AWN025,AWN026,AWN027,AWN028,AWN029,AWN030,AWN031,AWN032,AWN033,AWN034,AWN035,AWN036,AWN037,AWN038,AWN039,AWN040,AWN041,AWN042,AWN043,AWN044,AWN045,AWN046,AWN047,AWN048,AWN049,AWN050,AWN051,AWN052,AWN053,AWN054
"G280","1890","Mississippi","280","Mississippi",76,40,67,139,21,62,629,108,460,22,249,29,2663,51,6624,9012,9340,351,813,648,836,237,100,52,143,666,5,1,36,87,2064,11910,32717,429328,5217,1462,19,0,1708,1,4,5,5,1,3,0,2,0,5,41,9,2281,0,5,19,4,15,44,9,16,391,27,164,5,42,13,88,9,104,274,149,29,224,112,219,89,40,7,49,184,2,1,4,14,153,331,714,11342,1633,89,1,0,60,0,1,8,2,0,1,0,0,0,1,7,0,77,3,3,5,2,5,19,2,5,54,6,134,18,1480,106,15878,37,16585,9802,10756,330,217,92,163,24,31,18,34,1115,0,0,13,36,3630,11474,30219,622996,10344,650,14,0,2790,0,0,8,0,1,0,0,2,0,4,5,0,5415,1,1
"G290","1890","Missouri","290","Missouri",1775,1064,2118,3450,385,1574,20495,2438,29186,644,5039,401,37949,4678,11670,1518,3239,190,71178,64393,104834,5627,5239,1478,31295,1215955,151,179,3808,26251,87586,60531,3895,2407,1512,4973,722,16,15473,250,67,979,141,36,99,133,73,101,273,1160,4,17779,3,63,262,117,310,1296,155,457,10107,963,8195,88,1290,325,1574,385,284,185,171,47,13266,5916,29115,2108,3485,785,5778,332672,78,37,838,4494,3543,1612,270,427,1700,669,63,1,547,47,34,254,55,15,106,30,9,48,26,332,1,1864,44,1219,11,3,3,34,2,12,87,13,241,11,515,62,5806,71,716,392,585,63,463,254,1636,70,63,28,239,113929,4,0,59,1329,8816,5448,864,2267,1250,627,114,3,1055,3,0,32,11,0,1,10,0,5,0,21,4,2866,35,6
"G300","1890","Montana","300","Montana",1389,257,516,780,58,252,3891,356,3075,63,321,54,837,188,191,92,158,16,3858,1977,3420,1475,1976,1623,3466,5124,201,159,415,996,1268,508,110,84,99,338,31,1,155,11292,2,0,1,0,7,0,0,1,1825,592,0,2446,3,35,333,60,200,560,52,116,2369,274,1744,12,126,44,110,48,24,25,18,9,1101,412,1694,1850,1943,1763,1312,845,251,209,243,290,133,61,22,17,58,52,16,2,20,9697,105,282,22,8,760,390,213,59,127,522,0,341,3,12,0,0,0,5,0,3,23,6,52,2,85,24,202,7,51,48,38,6,58,17,24,10,5,25,14,136,39,15,7,20,114,93,27,26,27,28,4,1,12,629,5,4,0,0,2,2,5,3,6,12,0,196,0,4
"G310","1890","Nebraska","310","Nebraska",3115,1677,4417,4587,549,2782,33666,3206,34561,512,2541,199,7236,2635,1377,232,495,70,51177,36064,74662,10368,13715,3203,73741,22111,456,475,173224,10013,7202,2943,403,541,265,584,50,8,524,85,240,881,66,26,126,59,81,54,179,657,3,6072,2,107,357,127,551,1359,162,535,10617,986,7741,99,696,95,416,156,79,34,89,25,8467,4074,32925,3486,12691,1853,21584,4180,282,283,130906,2122,647,201,45,96,159,148,8,16,89,47,256,325,16,16,169,27,26,41,50,227,5,744,16,69,5,1,6,15,3,6,62,14,85,5,182,51,542,30,156,48,121,9,159,118,275,32,290,427,561,2299,36,89,3107,647,896,378,137,161,141,56,10,0,60,6,8,23,12,3,3,0,0,1,0,7,0,438,0,3
"G320","1890","Nevada","320","Nevada",593,98,238,296,32,94,1034,113,549,10,77,15,193,41,48,10,32,5,820,327,696,261,178,18,464,744,2,0,51,95,274,158,29,24,31,50,2,0,51,22,10,36,10,18,403,4783,42,16,94,1521,1,72,1,2,127,17,51,226,14,44,698,106,330,8,56,13,26,5,4,2,8,6,204,52,256,139,190,20,132,137,0,4,22,31,36,18,13,1,53,14,1,0,5,13,22,31,3,13,381,7232,28,12,26,1570,0,2,2,2,1,0,0,1,1,1,4,1,2,1,10,5,22,0,6,4,1,0,7,2,7,3,1,3,1,16,0,0,0,4,9,6,6,2,4,5,0,0,4,0,0,0,0,0,1,2516,2,0,3,91,0,1111,0,1
"G330","1890","New Hampshire","330","New Hampshire",13509,201720,12818,16692,540,770,3754,244,431,16,64,39,88,9,32,20,39,17,277,35,282,142,146,107,126,73,14,9,23,43,35,25,19,15,24,14,5,1,5,3,2,17,1,0,3,7,3,4,4,103,0,1153,2,105,1353,38175,2589,4573,308,250,1851,89,181,3,23,7,18,3,1,2,4,4,67,6,82,96,54,35,22,15,14,5,15,7,12,3,9,5,4,1,0,1,1,1,0,6,2,1,0,2,0,0,0,21,0,58,3,33,14,279,12,46,2,3,15,4,1,1,17,5,71,5,19,5,14,5,0,2,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
"G340","1890","New Jersey","340","New Jersey",1819,1066,1077,5231,740,4576,65135,548587,45598,3112,3321,468,2003,135,360,304,325,119,2196,520,1125,578,323,114,301,336,16,10,66,138,359,136,120,78,209,129,7,1,33,9,4,55,14,4,17,10,4,17,22,211,11,5491,5,73,255,136,293,2567,463,1792,55620,282086,18760,361,899,191,385,48,84,144,127,143,975,188,642,322,268,78,125,278,10,4,33,70,187,83,41,23,190,66,2,4,14,9,4,25,20,3,4,20,3,8,10,219,0,3536,41,19,12,8,6,101,142,115,1823,26874,2945,2099,2694,304,7625,49,1043,246,223,103,51,12,12,11,7,1,2,15,1,1,2,1,73,49,53,33,43,14,13,0,5,5,2,0,7,3,0,1,0,6,1,7,0,510,1,8
"G355","1890","New Mexico Territory","355","New Mexico Territory",200,82,149,216,33,82,1025,94,962,27,114,29,388,91,142,49,198,24,1237,772,1291,268,222,54,614,1893,10,6,117,869,615,560,284,228,129,4256,66,0,496,8,16,1076,99326,150,191,32,24,7,31,338,0,223,0,6,31,7,40,104,15,33,577,40,533,4,45,10,38,11,3,8,10,9,341,128,499,151,168,46,172,326,9,0,50,264,58,55,17,38,58,485,10,0,29,1,12,273,7498,75,79,11,6,5,8,129,0,18,2,0,0,0,0,3,1,1,8,3,23,2,48,13,122,3,46,23,38,1,26,9,14,4,3,3,9,107,0,0,3,37,130,93,23,22,27,94,20,0,20,0,2,22,9430,9,2,1,0,5,0,3,0,22,0,0
"G360","1890","New York","360","New York",6558,5245,20210,27554,3975,24605,2252562,34769,50109,924,4362,1371,4818,381,1083,1214,1171,444,10360,2112,5285,7362,2688,990,1829,1451,152,90,358,889,1543,718,536,348,1048,496,18,6,118,43,53,284,76,17,50,50,16,98,75,1253,9,38373,32,626,1235,691,4460,11315,1505,7253,1698294,18913,21553,244,2141,697,1279,128,294,761,648,216,5412,908,3327,3127,1450,431,727,1194,58,42,127,278,719,354,278,177,1099,395,11,1,59,28,20,101,92,7,39,29,11,69,62,1067,1,43777,115,234,44,19,131,462,130,613,40177,1799,1540,359,2440,1017,12237,129,2244,1126,866,249,194,26,52,68,19,0,8,66,2,0,1,16,326,224,135,77,183,40,10,1,31,3,0,4,4,4,0,1,0,79,3,31,0,1315,7,31
"G370","1890","North Carolina","370","North Carolina",150,65,79,321,31,189,791,225,783,79,604,69,10415,86,1010159,8842,2801,150,271,254,125,92,45,12,50,112,6,2,16,66,346,4481,382,248,90,220,5,0,144,1,1,13,2,0,3,0,0,1,2,28,0,1623,2,1,11,4,9,45,6,34,278,52,165,5,92,21,230,3,5670,245,44,20,67,21,20,49,6,3,7,11,0,0,1,0,12,42,22,5,11,4,0,2,0,0,0,2,0,0,0,2,1,0,2,2,0,9,1,1,2,0,4,21,1,3,30,13,50,9,138,33,6933,15,545640,6985,462,46,38,6,1,3,2,0,0,13,0,0,0,2,32,293,177,147,30,15,5,0,11,1,0,0,1,0,0,0,0,0,0,4,0,1358,0,1
