GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1910","Alabama","010",,"Alabama",14
"G040","1910","Arizona","040",,"Arizona",38
"G050","1910","Arkansas","050",,"Arkansas",18
"G060","1910","California","060",,"California",52
"G080","1910","Colorado","080",,"Colorado",30
"G090","1910","Connecticut","090",,"Connecticut",63
"G100","1910","Delaware","100",,"Delaware",51
"G120","1910","Florida","120",,"Florida",22
"G130","1910","Georgia","130",,"Georgia",18
"G160","1910","Idaho","160",,"Idaho",46
"G170","1910","Illinois","170",,"Illinois",108
"G180","1910","Indiana","180",,"Indiana",75
"G190","1910","Iowa","190",,"Iowa",96
"G200","1910","Kansas","200",,"Kansas",40
"G210","1910","Kentucky","210",,"Kentucky",29
"G220","1910","Louisiana","220",,"Louisianna",23
"G230","1910","Maine","230",,"Maine",25
"G240","1910","Maryland","240",,"Maryland",48
"G250","1910","Massachusetts","250",,"Massachusetts",68
"G260","1910","Michigan","260",,"Michigan",48
"G270","1910","Minnesota","270",,"Minnesota",41
"G280","1910","Mississippi","280",,"Mississippi",18
"G290","1910","Missouri","290",,"Missouri",50
"G300","1910","Montana","300",,"Montana",19
"G310","1910","Nebraska","310",,"Nebraska",47
"G320","1910","Nevada","320",,"Nevada",15
"G330","1910","New Hampshire","330",,"New Hampshire",26
"G340","1910","New Jersey","340",,"New Jersey",84
"G355","1910","New Mexico Territory","355",,"New Mexico",10
"G360","1910","New York","360",,"New York",54
"G370","1910","North Carolina","370",,"North Carolina",20
"G380","1910","North Dakota","380",,"North Dakota",29
"G390","1910","Ohio","390",,"Ohio",69
"G400","1910","Oklahoma","400",,"Oklahoma",26
"G410","1910","Oregon","410",,"Oregon",39
"G420","1910","Pennsylvania","420",,"Pennsylvania",56
"G440","1910","Rhode Island","440",,"Rhode Island",63
"G450","1910","South Carolina","450",,"South Carolina",25
"G460","1910","South Dakota","460",,"South Dakota",39
"G470","1910","Tennessee","470",,"Tennessee",24
"G480","1910","Texas","480",,"Texas",16
"G490","1910","Utah","490",,"Utah",35
"G500","1910","Vermont","500",,"Vermont",24
"G510","1910","Virginia","510",,"Virginia",27
"G530","1910","Washington","530",,"Washington",49
"G540","1910","West Virginia","540",,"West Virginia",26
"G550","1910","Wisconsin","550",,"Wisconsin",57
"G560","1910","Wyoming","560",,"Wyoming",11
