GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADT001,ADU001,ADV001,ADV002,ADW001,ADX001,ADY001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD2001,AD2002,AD2003,AD2004,AD2005,AD2006,AD2007,AD2008,AD2009,AD2010,AD2011,AD2012,AD3001,AD3002,AD3003,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AD7001,AD8001,AD8002,AD8003,AD8004,AEA001,AEA002,AEB001,AEB002,AEC001,AED001,AED002,AEE001,AEF001,AEF002,AEG001,AEG002,AEG003,AEG004,AEH001,AEH002,AEH003,AEH004,AEH005,AEI001,AEI002,AEI003,AEI004,AEI005,AEJ001,AEK001,AEM001,AEM002,AEN001,AEO001,AEP001,AEQ001,AER001,AES001,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AEU001,AEU002,AEU003,AEU004,AEU005,AEU006,AEU007,AEU008,AEU009,AEU010,AEU011,AEU012,AEU013,AEU014,AEU015,AEU016,AEU017,AEU018,AEU019,AEU020,AEU021,AEU022,AEU023,AEV001,AEV002,AEV003,AEV004,AEV005,AEV006,AEV007,AEV008,AEV009,AEV010,AEV011,AEV012,AEV013,AEV014,AEV015,AEV016,AEV017,AEV018,AEV019,AEV020,AEV021,AEV022,AEV023,AEX001,AEY001,AEZ001,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE3001,AE4001,AE5001
"G190","1850","Iowa","190",,"Iowa",192214,9730,0,3141,14302,15864,13172,9961,16702,13613,7784,4115,1631,463,97,15,0,27,2952,13850,15095,12137,10134,15646,10451,5968,3026,1261,369,68,9,1,27,3,18,29,17,18,35,24,14,6,1,0,0,0,0,0,3,21,28,20,17,37,17,12,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100887,90994,165,168,0,0,191881,333,0,,,6099,,1824,,,2044,32962,33517,2,742,31,4,100,830,29616,44,1051,200,0,0,1800,0,16549,19078,15865,2500,0,0,5480,2000,51492,7980,18677,16779,12,5,35456,17,34383,1090,35473,2928,5192,15,18,8120,33,7076,1077,8153,824682,1911382,16657568,1172869,3689275,821164,8434,8848,221292,4,4,24,0,0,2650,160,2980,0,0,32,5790,129528,20969,61472,76363,14805,1292875,1707,3551783,23,11,14,,,5,,5,4,,5,,76,3,38,,18,,,3,,1,1,3993,2810,4725,,,730,,1550,375,,1030,,14609,560,7855,,4490,,,502,,200,100,19550,6300,21550,,,5000,,6300,800,,6950,,43475,2200,28350,,28250,,,7100,,1600,,207,43529,177425,3144,14320,15893,13189,9979,16737,13637,7798,4121,1632,463,97,15,0,27,2955,13871,15123,12157,10151,15683,10468,5980,3031,1266,371,69,9,1,27,101052,91162,6099,28191,31016,25346,20130,32420,24105,13778,7152,2898,834,166,24,1,54,191881,,
"G210","1850","Kentucky","210",,"Kentucky",982405,73804,43194,12035,52441,59604,51610,42115,69673,45345,28587,16995,8904,3994,1188,177,28,108,11528,50140,57315,49454,42801,64506,38672,25376,15142,8616,3620,1156,180,31,72,101,545,673,501,396,634,492,460,458,335,178,62,18,6,4,141,530,648,539,459,749,554,489,440,334,156,68,25,11,5,3023,14952,16761,15602,12370,19031,10325,6520,3744,1819,621,198,61,28,8,3245,15311,16828,15203,12695,17627,10422,7156,3985,2123,913,255,94,53,8,392804,368609,4863,5148,105063,105918,761413,10011,210981,23805,6268,30073,8091,,10840,4193,15033,130769,132920,15,2234,330,100,1873,2306,71429,600,12712,45608,15447,0,70406,0,41276,46376,124200,5445,0,5534,241638,131461,211852,252617,69783,61134,128,160,130917,288,129955,1250,131205,27754,38933,1431,1588,66687,3019,67359,2347,69706,5968270,10981478,155021264,5169037,29661436,6462598,106230,303120,2459128,47,0,18,11,4,40424,0,4617,33225,1200,80,79466,150874,31420,595930,302899,74777,12350734,24385,24588484,803,111,,,,19,34,,,1,5,,530,,224,,48,,1,30,1,7,31,291855,46340,,,,7050,9377,,,600,2850,,169060,,99106,,24240,,200,10900,700,2200,8150,570505,164925,,,,112150,13600,,,13000,21300,,460755,,491303,,336910,,200,17000,15000,11650,24150,1845,672628,2252448,15159,67938,77038,67713,54881,89338,56162,35567,21197,11058,4793,1448,256,62,120,14914,65981,74791,65196,55955,82882,49648,33021,19567,11073,4689,1479,299,95,85,502730,479675,30073,133919,151829,132909,110836,172220,105810,68588,40764,22131,9482,2927,555,157,205,761413,,
"G220","1850","Louisiana","220",,"Louisianna",517762,134470,116375,3467,15380,16931,14103,10620,30729,27451,13829,5639,2055,621,126,30,9,253,3421,14907,16274,13857,12498,24569,15054,7529,3657,1678,573,149,29,12,41,191,910,1188,1059,704,1147,900,678,370,172,87,35,11,11,16,213,931,1182,1034,998,1761,1474,975,683,420,156,87,45,21,3,2349,14260,14874,13865,11151,26047,20250,12690,5955,3032,937,319,81,57,7,2591,14814,15009,13410,11799,23971,18415,10550,4864,2388,771,225,59,66,3,141243,114248,7479,9983,125874,118935,255491,17462,244809,7292,4940,12232,2890,,6083,5873,11956,49101,54112,5,664,143,35,469,822,25046,354,5328,18600,0,25000,32650,3200,194984,93428,58067,52200,0,2985,137892,76250,349679,193077,16903,15935,629,590,32838,1219,30795,3262,34057,9842,11379,1038,2351,21221,3389,18339,6271,24610,1590025,3939018,75814400,11576938,11152276,1458990,22359,148329,139232,5,2,0,3,0,9800,12000,0,5000,0,10,26800,61920,68233,619006,84283,13422,5318074,6437,7320948,77,3,,,,15,3,,1,1,,,125,,18,,55,,,6,,1,2,16660,1500,,,,5210,675,,500,600,,,33180,,9510,,37780,,,1350,,1000,1650,30470,61000,,,,57900,10430,,4000,20000,,,236500,,149300,,1045650,,,8220,,100000,59000,307,109615,1782470,6007,30550,32993,29027,22475,57923,48601,27197,11964,5259,1645,480,122,77,276,6225,30652,32465,28301,25295,50301,34943,19054,9204,4486,1500,461,133,99,47,274596,243166,12232,61202,65458,57328,47770,108224,83544,46251,21168,9745,3145,941,255,176,323,255491,,
"G230","1850","Maine","230",,"Maine",583169,78925,0,7041,31497,37705,36408,33452,51456,35935,27436,17644,10493,5224,1683,149,9,613,6915,30161,36590,35188,33439,48279,33606,25802,17460,10230,5247,1760,180,4,207,26,64,83,83,69,133,105,69,43,29,11,8,3,0,0,13,59,75,64,65,127,85,48,47,30,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296745,285068,726,630,0,0,581813,1356,0,,,13995,,4886,,,7582,95802,103333,3,4042,131,21,282,5540,192815,232,6648,1500,0,6000,6500,2695,269603,31110,12028,8376,120,6986,35705,14000,315436,51187,97443,88498,144,137,185941,281,183051,3171,186222,3259,2888,77,58,6147,135,2134,4148,6282,2039596,2515797,54861748,2284557,9705726,1646773,342865,122387,513599,77,11,131,8,9,51439,2225,26988,39625,1692,236,121969,35295,31825,380623,212782,46760,14700452,28078,24664136,326,12,180,,,9,22,26,,,,,199,,7,,12,2,,73,15,60,2,101389,4030,70623,,,4137,7442,7725,,,,,59421,,4086,,6650,640,,23537,10144,21043,300,436732,14626,529970,,,52600,28150,15680,,,,,268716,,32000,,20700,8000,,93670,103000,121601,400,945,321167,1725845,7067,31561,37788,36491,33521,51589,36040,27505,17687,10522,5235,1691,152,9,613,6928,30220,36665,35252,33504,48406,33691,25850,17507,10260,5260,1764,180,4,207,297471,285698,13995,61781,74453,71743,67025,99995,69731,53355,35194,20782,10495,3455,332,13,820,581813,,
"G240","1850","Maryland","240",,"Maryland",583034,188045,169054,6059,24309,27558,25307,20767,40164,29460,18740,10647,5429,2161,508,63,7,8,5962,24037,27016,24608,22461,38173,26685,17414,10802,6088,2631,749,114,10,6,1017,4422,4950,4516,3396,5437,4344,3030,2104,1242,503,175,45,11,0,998,4502,5131,4582,4015,6816,5273,3625,2252,1334,605,239,110,48,1,1243,5961,6902,6963,5643,8092,4269,2953,1926,1187,549,190,41,24,1,1203,5931,6712,6400,5466,7443,4500,2931,1850,1175,510,196,74,31,2,211187,206756,35192,39531,45944,44424,417943,74723,90368,14036,2446,16482,3703,,8109,1512,9621,81708,87384,11,907,223,91,992,1005,33254,491,10779,0,0,1700,100014,1559,86663,67273,64653,14995,0,7965,220069,101714,220148,243029,32214,28233,886,730,60447,1616,60386,1677,62063,8557,12258,9422,11640,20815,21062,38426,3451,41877,2797905,1836445,87178544,2463443,7997634,1954800,164051,200869,111828,17,8,84,10,5,54750,6335,28315,33792,1850,124,125042,41712,51209,564891,147717,21860,14753144,30124,32477702,45,,,,,133,6,26,22,,40,,479,,56,,65,,,,,,37,15950,,,,,60105,1350,7760,14800,,24700,,181715,,22635,,31100,,,,,,19350,130710,,,,,610877,6100,114050,197800,,247950,,837665,,376300,,1161532,,,,,,264900,909,379465,3947884,8319,34692,39410,36786,29806,53693,38073,24723,14677,7858,3213,873,149,42,9,8163,34470,38859,35590,31942,52432,36458,23970,14904,8597,3746,1184,298,89,9,292323,290711,16482,69162,78269,72376,61748,106125,74531,48693,29581,16455,6959,2057,447,131,18,417943,,
"G250","1850","Massachusetts","250",,"Massachusetts",994514,503861,170264,11527,45460,51148,49129,48868,101306,72540,47696,28340,16743,7784,2335,197,4,1016,11466,44544,50697,48034,56044,107856,70002,47612,31293,19807,10003,3420,393,9,177,85,409,459,428,381,944,704,472,284,129,61,29,7,3,29,114,440,493,433,448,891,685,486,337,158,88,36,16,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484093,501357,4424,4640,0,0,985450,9064,0,,,23192,,10347,,,19404,152835,192675,6,3679,409,85,1043,4443,176475,521,13436,52223,0,5000,50678,16906,935141,37341,17407,19470,100,48,290559,107901,1006795,310177,112210,108571,726,713,220781,1439,211293,10927,222220,11578,15961,375,431,27539,806,1861,26484,28345,2133436,1222576,109076344,3209584,9647710,2500924,463995,600020,205333,177,792,433,18,42,257737,104645,165476,141400,14757,1462,684015,142106,164024,1424873,303920,34069,83357640,165938,151137152,266,30,448,,,54,7,40,,1,1,,262,,16,,41,6,,6,163,123,16,114680,11020,239142,,,24195,1850,14423,,200,450,,94601,,8190,,32165,1645,,1810,92938,51089,4735,1460350,84450,3279089,,,697250,12650,108600,,1200,11193,,934380,,82500,,477500,66000,,9550,2320147,643875,17450,1480,693133,10206184,11612,45869,51607,49557,49249,102250,73244,48168,28624,16872,7845,2364,204,7,1045,11580,44984,51190,48467,56492,108747,70687,48098,31630,19965,10091,3456,409,12,189,488517,505997,23192,90853,102797,98024,105741,210997,143931,96266,60254,36837,17936,5820,613,19,1234,985450,,
"G260","1850","Michigan","260",,"Michigan",397654,29025,0,5462,25016,30384,25491,21216,36186,28120,19412,10356,4804,1593,317,42,5,61,5362,23775,28847,24040,21238,32491,23032,14809,7712,3775,1200,239,25,2,59,39,177,176,133,105,281,252,146,78,30,10,1,0,1,2,35,175,169,122,104,243,148,76,40,22,13,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208465,186606,1431,1152,0,0,395071,2583,0,,,10898,,4257,,,4515,71616,72611,3,2714,37,22,308,3231,110455,71,1619,0,0,0,14000,0,88879,54279,24648,7960,0,0,16987,14000,167806,24947,55546,50208,106,101,105754,207,100851,5110,105961,4037,3875,201,168,7912,369,5272,3009,8281,1929110,2454780,51872448,2891371,8008734,1328327,132650,14738,340947,280,119,15,3,0,65116,31427,3500,7900,0,417,107943,203229,54703,206753,151216,34089,6534250,9290,10976894,66,2,29,,10,25,1,7,,,12,,119,1,72,,44,,,3,,7,1,17865,350,10500,,1975,8425,700,1400,,,3205,,33885,200,22530,,16122,,,800,,1360,800,84050,1000,59550,,6250,82800,3000,4850,,,12625,,142850,500,142850,,159775,,,1400,,7100,15000,399,120117,723600,5501,25193,30560,25624,21321,36467,28372,19558,10434,4834,1603,318,42,6,63,5397,23950,29016,24162,21342,32734,23180,14885,7752,3797,1213,242,25,3,60,209896,187758,10898,49143,59576,49786,42663,69201,51552,34443,18186,8631,2816,560,67,9,123,395071,,
"G275","1850","Minnesota Territory","275",,"Minnesota Territory",6077,0,0,66,388,363,299,225,1154,720,290,129,39,17,3,2,0,0,102,363,356,263,231,565,251,131,53,23,3,2,0,0,0,0,0,0,3,4,7,4,3,0,0,0,0,0,0,0,0,0,2,3,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695,2343,21,18,0,0,6038,39,0,,,168,,39,,,30,1002,1016,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,140,0,0,140,105,102,0,2,207,2,202,7,209,389,260,0,0,649,0,259,390,649,5035,23846,161948,15981,92859,2840,0,150,0,,,,,,,,,,,,,2511,1977,140,1737,157,94000,63,57500,0,,0,,,,,,,,,,1,,1,,1,,,,,,,0,,0,,,,,,,,,,,,,,100,,,,,,,0,,0,,,,,,,,,,,,800,,100,,,,,,,3,100,900,66,388,363,302,229,1161,724,293,129,39,17,3,2,0,0,102,363,358,266,233,571,255,132,53,23,3,2,0,0,0,3716,2361,168,751,721,568,462,1732,979,425,182,62,20,5,2,0,0,6038,,
"G280","1850","Mississippi","280",,"Mississippi",606526,10723,0,4464,22045,24404,21105,15847,27164,19061,11378,6667,2847,968,228,35,7,67,4209,20689,23495,20081,16157,23630,14216,8776,4742,2246,860,225,32,11,62,8,58,57,56,44,90,49,35,31,25,17,4,0,0,0,6,61,53,60,38,70,50,41,33,25,9,6,1,2,1,3611,22705,23240,20666,16611,29915,18565,9996,4854,3139,825,288,85,47,416,3788,23417,23106,19812,17087,30021,18986,9933,4390,2839,727,243,85,73,408,156287,139431,474,456,154963,154915,295718,930,309878,8687,7399,16086,2774,,3374,5347,8721,51681,52107,11,782,171,45,862,826,18746,297,6628,10600,0,0,31800,3820,33626,32492,184221,100,50,5743,67824,42400,254159,73717,26002,22801,0,0,48803,0,48751,52,48803,5522,7883,75,48,13405,123,13447,81,13528,3444358,7046061,54738632,5762927,19403662,3636582,50405,46250,1164020,4,103,6,4,0,7264,3650,730,10093,0,117,21737,155211,4788,370276,121089,33960,1833420,3173,2972038,385,8,,,,13,3,,,,,,454,,143,,9,,,1,,,,113675,2350,,,,4550,700,,,,,,121083,,48316,,3250,,,180,,,,186192,9950,,,,66800,1850,,,,,,240265,,183085,,67000,,,400,,,,1016,294104,755542,8083,44808,47701,41827,32502,57169,37675,21409,11552,6011,1810,520,120,54,483,8003,44167,46654,39953,33282,53721,33252,18750,9165,5110,1596,474,118,86,471,311724,294802,16086,88975,94355,81780,65784,110890,70927,40159,20717,11121,3406,994,238,140,954,295718,,
"G290","1850","Missouri","290",,"Missouri",682044,80558,77860,10044,41124,46356,40589,32250,58245,41006,23540,12481,5206,1631,373,50,12,80,9529,39466,44606,38673,32299,49952,30761,18170,9594,4212,1340,316,37,11,51,31,110,136,110,114,298,205,151,108,64,23,5,1,1,4,28,143,143,122,79,228,198,136,92,56,14,9,4,4,1,1365,6420,7090,6492,5395,8623,3902,2278,1136,535,141,63,25,8,11,1334,6684,6845,6358,5400,7988,4300,2779,1291,632,220,65,25,9,8,312987,279017,1361,1257,43484,43938,592004,2618,87422,19632,2699,22331,6989,,12121,1293,13414,96849,100890,9,1570,204,65,1009,1620,51754,368,8829,23000,0,0,56528,7178,3024,74807,75761,0,0,870,142301,79528,160770,143171,51146,44099,23,17,95245,40,92031,3254,95285,14458,21823,271,226,36281,497,34917,1861,36778,2938425,6794245,63225544,3981525,19887580,3367106,514711,99454,1674705,13,13,66,4,1,23106,17150,14500,19700,600,97,75056,250166,76592,383469,234773,54458,9079696,16850,23749264,300,57,,,,11,13,,,1,21,1,250,3,125,,65,,,11,2,1,19,73525,19655,,,,4500,2350,,,400,7260,200,60944,12,44820,,26402,,,2350,2100,250,6300,154480,43210,,,,135600,4400,,,7000,34560,420,280245,20,285970,,497575,,,6200,70000,500,41430,880,251068,1561610,11440,47654,53582,47191,37759,67166,45113,25969,13725,5805,1795,441,76,21,95,10891,46293,51594,45153,37778,58168,35259,21085,10977,4900,1574,390,66,24,60,357832,324212,22331,93947,105176,92344,75537,125334,80372,47054,24702,10705,3369,831,142,45,155,592004,,
"G330","1850","New Hampshire","330",,"New Hampshire",317976,54327,0,3067,13660,17379,17426,16920,28232,19558,15837,11299,7173,3905,1320,151,5,28,3030,13247,16833,16841,18821,28948,20222,16445,12372,8169,4556,1731,251,6,24,7,22,30,24,22,41,32,26,22,15,8,8,2,1,0,7,23,22,23,18,44,35,26,29,12,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155960,161496,260,260,0,0,317456,520,0,,,6111,,2613,,,4231,57339,62287,1,2381,107,18,273,3013,75643,183,5321,4000,0,0,7000,2523,141016,14990,8415,6136,775,157,36134,11000,166944,43202,45764,42384,41,32,88148,73,86998,1223,88221,1662,1295,26,26,2957,52,945,2064,3009,2251488,1140926,55245996,2314125,8871902,1522873,248563,56810,393455,47,3,70,3,6,42017,1200,20117,19975,2450,129,85759,45092,14265,221146,104220,29229,18242114,27092,23164504,193,24,176,,,11,2,15,,,,,103,,13,,2,,,32,13,38,4,64671,7240,80831,,,4425,750,4700,,,,,32640,,6500,,1450,,,10450,8380,14280,1100,322956,30350,527340,,,41100,4000,15200,,,,,175590,,71000,,20000,,,39350,72800,83100,3000,626,237417,1405786,3074,13682,17409,17450,16942,28273,19590,15863,11321,7188,3913,1328,153,6,28,3037,13270,16855,16864,18839,28992,20257,16471,12401,8181,4567,1739,253,6,24,156220,161756,6111,26952,34264,34314,35781,57265,39847,32334,23722,15369,8480,3067,406,12,52,317456,,
"G340","1850","New Jersey","340",,"New Jersey",489555,86195,38894,6401,26444,30614,28213,24294,42193,30181,20887,12796,7254,3126,888,72,4,85,6436,25687,30081,26913,25766,43152,28851,19631,13039,7705,3454,1143,122,6,71,361,1302,1484,1498,1174,2018,1526,1049,715,407,166,63,23,3,9,358,1395,1579,1421,1183,2101,1538,1000,682,439,188,79,28,12,9,0,0,1,2,5,10,0,2,21,27,17,9,2,0,0,0,0,2,2,2,1,0,9,38,42,31,7,5,0,1,233452,232057,11798,12012,96,140,465509,23810,236,13556,0,13556,3719,,6454,11,6465,81064,89080,4,1478,226,49,470,1587,78145,456,9904,6000,0,0,73700,2573,76003,66092,72004,1800,146,125,225517,79700,216672,227588,48065,41210,1243,1083,89275,2326,88892,2709,91601,6007,8241,2167,2250,14248,4417,12787,5878,18665,1767991,984955,120237512,4425503,10679292,2638552,607268,475242,112781,77,10,35,4,2,43903,4080,8564,24000,338,128,80885,46820,59948,523960,165881,23905,22184730,37311,39713584,108,8,8,,66,52,7,52,,,7,,312,,149,,23,,2,5,2,3,10,43425,2835,3500,,39146,19647,2400,25545,,,2900,,109350,,81650,,9485,,800,1450,450,1000,2150,334600,10400,37700,,460430,525409,7500,207100,,,28512,,688350,,1225250,,133385,,1800,6500,1500,6800,5700,814,345733,3680936,6762,27746,32099,29713,25473,44221,31707,21938,13532,7688,3309,960,97,7,94,6794,27082,31662,28336,26951,45254,30389,20640,13759,8186,3673,1229,155,18,81,245346,244209,13556,54828,63761,58049,52424,89475,62096,42578,27291,15874,6982,2189,252,25,175,465509,,
"G355","1850","New Mexico Territory","355",,"New Mexico Territory",61547,4539,0,639,3773,4402,3678,3187,6326,3949,2407,1627,1010,313,194,59,19,142,594,3792,4325,3349,3833,6270,3293,1981,1245,684,259,125,28,21,1,0,0,0,0,1,7,5,4,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31725,29800,17,5,0,0,61525,22,0,1233,,1233,,916,,,1157,13453,13502,0,0,1,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,105,0,0,466,0,464,2,466,13334,11751,2,2,25085,4,24429,660,25089,166201,124370,1653922,77960,1494629,82125,8231,6679,6033,,,,,,,,,,,,,772,2151,0,22774,3750,68300,81,249010,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,28650,,,,,,,,,,,,,,,,,,,,,,,94100,,,,,,,73,28650,94100,639,3773,4402,3678,3188,6333,3954,2411,1627,1010,313,194,59,19,142,594,3793,4325,3349,3833,6271,3296,1981,1245,684,259,125,28,21,1,31742,29805,1233,7566,8727,7027,7021,12604,7250,4392,2872,1694,572,319,87,40,143,61525,,
"G360","1850","New York","360",,"New York",3097394,904194,801377,38090,162659,187834,170053,157151,308816,216542,144496,85440,45927,19947,5709,618,33,1174,37126,159831,184305,167472,171592,308392,197333,128561,78911,43920,19264,5877,713,29,510,582,2213,2666,2507,2045,4556,3719,2619,1432,702,268,100,24,12,7,539,2390,2800,2619,2541,5280,3911,2635,1476,820,355,171,44,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544489,1503836,23452,25617,0,0,3048325,49069,0,,,76337,,31465,,,45584,473936,566869,18,11580,887,174,2673,13965,675221,2136,49328,29567,0,12855,105836,20426,756693,564104,131434,23185,4812,46465,735870,148258,1472657,810332,356602,331272,2840,2607,687874,5447,644087,49234,693321,39178,52115,3387,4042,91293,7429,30670,68052,98722,12408964,6710120,554546624,22084926,73570496,13573884,1761950,912047,1280333,43,10802,137,25,6,197229,1388729,33294,138870,2698,11013,1760820,307120,655929,2431247,1038407,170621,99904408,199349,237597248,781,65,215,,233,279,15,133,1,9,81,4,1231,3,671,,176,2,,75,22,114,25,335374,20300,102430,,131025,140195,4600,49314,600,5600,38270,1000,481270,1500,373264,,126288,450,,27529,10225,55570,9350,2253050,79650,779304,,3542850,4110824,28700,309380,15000,126000,252200,2050,2886043,36000,4356606,,1569875,1400,,110300,292075,327400,55500,4135,1914154,21134208,38672,164872,190500,172560,159196,313372,220261,147115,86872,46629,20215,5809,642,45,1181,37665,162221,187105,170091,174133,313672,201244,131196,80387,44740,19619,6048,757,43,532,1567941,1529453,76337,327093,377605,342651,333329,627044,421505,278311,167259,91369,39834,11857,1399,88,1713,3048325,,
"G370","1850","North Carolina","370",,"North Carolina",869039,21109,0,8171,35721,40793,37577,30178,46018,29340,20315,13084,7169,3383,1054,135,18,69,7680,34080,39407,35722,31777,49630,31753,21922,14315,8407,3858,1136,216,43,57,412,1812,2138,1907,1520,2195,1250,793,638,337,176,89,22,7,2,385,1837,2067,1815,1520,2581,1574,1003,671,362,210,103,20,17,0,4022,21891,23400,20711,15710,23969,13687,8444,6814,3637,1520,570,132,66,8,4064,22043,23536,19860,15800,23536,13927,8631,6327,3606,1665,658,202,98,14,273025,280003,13298,14165,144581,143967,553028,27463,288548,16648,8086,24734,5275,,6028,4329,10357,104996,105451,5,2657,272,29,513,2730,104095,403,7822,11300,0,0,29400,1535,42936,97378,16715,15987,0,0,171661,40700,158564,187648,54727,45864,113,104,100591,217,100258,550,100808,26239,47327,3099,3758,73566,6857,80083,340,80423,5453975,15543008,67891768,3931532,17717648,5767866,34348,39462,2086522,4,1,19,5,9,2500,1500,2352,21593,1647,38,29592,21392,2581,386912,215454,56963,7252225,12444,9111246,604,29,,,,51,54,31,16,,49,,786,7,151,,4,,1,4,,,,201797,11600,,,,15245,14870,13220,5725,,19750,,222687,3000,64230,,1400,,200,1200,,,,205090,10575,,,,112340,16860,8075,17500,,29525,,292608,34000,172530,,5900,,100,650,,,,1787,574924,905753,12605,59424,66331,60195,47408,72182,44277,29552,20536,11143,5079,1713,289,91,79,12129,57960,65010,57397,49097,75747,47254,31556,21313,12375,5733,1897,438,158,71,430904,438135,24734,117384,131341,117592,96505,147929,91531,61108,41849,23518,10812,3610,727,249,150,553028,,
"G390","1850","Ohio","390",,"Ohio",1980329,242418,115435,28488,127036,145958,128104,107089,178777,120512,80204,46352,27462,10790,2667,306,23,349,27707,123348,141724,123632,111126,168373,107098,70128,42520,23224,9157,2349,268,22,257,370,1565,1793,1572,1332,2324,1556,980,568,413,137,53,14,5,9,319,1493,1811,1613,1513,2457,1431,901,534,294,138,47,18,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004117,950933,12691,12588,0,0,1955050,25279,0,,,56884,,22328,,,28949,336098,348514,26,11661,206,180,3621,12886,484153,474,15052,25136,0,0,100656,20159,285266,329671,107978,5690,0,16260,127442,125792,743074,149392,270254,242024,1321,1210,512278,2531,498527,16282,514809,22994,38036,2366,2624,61030,4990,56958,9062,66020,9851494,8146000,358758592,12750586,44121740,7439243,695921,214004,1712196,65,13,248,22,4,65703,9665,53910,56573,975,352,186826,541870,218193,1018258,757633,143807,29019538,51489,62647260,551,90,100,,5,79,13,94,71,3,260,10,1531,160,663,,130,2,15,48,1,53,60,185673,30190,41920,,1150,31975,5100,30866,26315,1300,90448,1830,543490,51105,272274,,76215,700,5825,18646,650,20765,21332,621730,56155,207880,,2600,367425,9550,82175,71860,29000,259975,1925,1545831,93072,1389699,,763307,15800,9975,37900,15000,100590,111650,3939,1457769,5793099,28858,128601,147751,129676,108421,181101,122068,81184,46920,27875,10927,2720,320,28,358,28026,124841,143535,125245,112639,170830,108529,71029,43054,23518,9295,2396,286,30,268,1016808,963521,56884,253442,291286,254921,221060,351931,230597,152213,89974,51393,20222,5116,606,58,626,1955050,,
