GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1890","Alabama","010",,"Alabama",6
"G045","1890","Arizona Territory","045",,"Arizona",6
"G050","1890","Arkansas","050",,"Arkansas",8
"G060","1890","California","060",,"California",33
"G080","1890","Colorado","080",,"Colorado",18
"G090","1890","Connecticut","090",,"Connecticut",42
"G100","1890","Delaware","100",,"Delaware",38
"G120","1890","Florida","120",,"Florida",20
"G130","1890","Georgia","130",,"Georgia",6
"G160","1890","Idaho","160",,"Idaho",13
"G170","1890","Illinois","170",,"Illinois",41
"G180","1890","Indiana","180",,"Indiana",37
"G190","1890","Iowa","190",,"Iowa",28
"G200","1890","Kansas","200",,"Kansas",19
"G210","1890","Kentucky","210",,"Kentucky",16
"G220","1890","Louisiana","220",,"Louisianna",9
"G230","1890","Maine","230",,"Maine",16
"G240","1890","Maryland","240",,"Maryland",35
"G250","1890","Massachusetts","250",,"Massachusetts",43
"G260","1890","Michigan","260",,"Michigan",38
"G270","1890","Minnesota","270",,"Minnesota",18
"G280","1890","Mississippi","280",,"Mississippi",7
"G290","1890","Missouri","290",,"Missouri",20
"G300","1890","Montana","300",,"Montana",13
"G310","1890","Nebraska","310",,"Nebraska",19
"G320","1890","Nevada","320",,"Nevada",7
"G330","1890","New Hampshire","330",,"New Hampshire",19
"G340","1890","New Jersey","340",,"New Jersey",60
"G355","1890","New Mexico Territory","355",,"New Mexico",10
"G360","1890","New York","360",,"New York",44
"G370","1890","North Carolina","370",,"North Carolina",8
"G380","1890","North Dakota","380",,"North Dakota",10
"G390","1890","Ohio","390",,"Ohio",45
"G405","1890","Oklahoma Territory","405",,"Oklahoma",5
"G410","1890","Oregon","410",,"Oregon",17
"G420","1890","Pennsylvania","420",,"Pennsylvania",50
"G440","1890","Rhode Island","440",,"Rhode Island",47
"G450","1890","South Carolina","450",,"South Carolina",8
"G460","1890","South Dakota","460",,"South Dakota",9
"G470","1890","Tennessee","470",,"Tennessee",12
"G480","1890","Texas","480",,"Texas",8
"G495","1890","Utah Territory","495",,"Utah",21
"G500","1890","Vermont","500",,"Vermont",18
"G510","1890","Virginia","510",,"Virginia",13
"G530","1890","Washington","530",,"Washington",20
"G540","1890","West Virginia","540",,"West Virginia",15
"G550","1890","Wisconsin","550",,"Wisconsin",28
"G560","1890","Wyoming","560",,"Wyoming",8
