GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1870","Alabama","010",,"Alabama",4
"G045","1870","Arizona Territory","045",,"Arizona",6
"G050","1870","Arkansas","050",,"Arkansas",4
"G060","1870","California","060",,"California",12
"G085","1870","Colorado Territory","085",,"Colorado",8
"G090","1870","Connecticut","090",,"Connecticut",42
"G100","1870","Delaware","100",,"Delaware",36
"G120","1870","Florida","120",,"Florida",3
"G130","1870","Georgia","130",,"Georgia",3
"G165","1870","Idaho Territory","165",,"Idaho",5
"G170","1870","Illinois","170",,"Illinois",28
"G180","1870","Indiana","180",,"Indiana",28
"G190","1870","Iowa","190",,"Iowa",20
"G200","1870","Kansas","200",,"Kansas",13
"G210","1870","Kentucky","210",,"Kentucky",13
"G220","1870","Louisiana","220",,"Louisianna",8
"G230","1870","Maine","230",,"Maine",14
"G240","1870","Maryland","240",,"Maryland",30
"G250","1870","Massachusetts","250",,"Massachusetts",34
"G260","1870","Michigan","260",,"Michigan",32
"G270","1870","Minnesota","270",,"Minnesota",12
"G280","1870","Mississippi","280",,"Mississippi",5
"G290","1870","Missouri","290",,"Missouri",14
"G305","1870","Montana Territory","305",,"Montana",4
"G320","1870","Nevada","320",,"Nevada",7
"G330","1870","New Hampshire","330",,"New Hampshire",18
"G340","1870","New Jersey","340",,"New Jersey",69
"G355","1870","New Mexico Territory","355",,"New Mexico",2
"G360","1870","New York","360",,"New York",46
"G370","1870","North Carolina","370",,"North Carolina",3
"G390","1870","Ohio","390",,"Ohio",39
"G410","1870","Oregon","410",,"Oregon",9
"G420","1870","Pennsylvania","420",,"Pennsylvania",46
"G440","1870","Rhode Island","440",,"Rhode Island",34
"G450","1870","South Carolina","450",,"South Carolina",3
"G470","1870","Tennessee","470",,"Tennessee",9
"G480","1870","Texas","480",,"Texas",3
"G495","1870","Utah Territory","495",,"Utah",12
"G500","1870","Vermont","500",,"Vermont",25
"G510","1870","Virginia","510",,"Virginia",9
"G535","1870","Washington Territory","535",,"Washington",6
"G540","1870","West Virginia","540",,"West Virginia",10
"G550","1870","Wisconsin","550",,"Wisconsin",21
"G565","1870","Wyoming Territory","565",,"Wyoming",3
