GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1935","Alabama","010",,"Alabama",19
"G040","1935","Arizona","040",,"Arizona",9
"G050","1935","Arkansas","050",,"Arkansas",21
"G060","1935","California","060",,"California",76
"G080","1935","Colorado","080",,"Colorado",14
"G090","1935","Connecticut","090",,"Connecticut",136
"G100","1935","Delaware","100",,"Delaware",56
"G120","1935","Florida","120",,"Florida",53
"G130","1935","Georgia","130",,"Georgia",17
"G160","1935","Idaho","160",,"Idaho",31
"G170","1935","Illinois","170",,"Illinois",70
"G180","1935","Indiana","180",,"Indiana",51
"G190","1935","Iowa","190",,"Iowa",72
"G200","1935","Kansas","200",,"Kansas",31
"G210","1935","Kentucky","210",,"Kentucky",30
"G220","1935","Louisiana","220",,"Louisianna",28
"G230","1935","Maine","230",,"Maine",30
"G240","1935","Maryland","240",,"Maryland",55
"G250","1935","Massachusetts","250",,"Massachusetts",116
"G260","1935","Michigan","260",,"Michigan",45
"G270","1935","Minnesota","270",,"Minnesota",42
"G280","1935","Mississippi","280",,"Mississippi",19
"G290","1935","Missouri","290",,"Missouri",31
"G300","1935","Montana","300",,"Montana",8
"G310","1935","Nebraska","310",,"Nebraska",34
"G320","1935","Nevada","320",,"Nevada",12
"G330","1935","New Hampshire","330",,"New Hampshire",32
"G340","1935","New Jersey","340",,"New Jersey",122
"G350","1935","New Mexico","350",,"New Mexico",5
"G360","1935","New York","360",,"New York",56
"G370","1935","North Carolina","370",,"North Carolina",31
"G380","1935","North Dakota","380",,"North Dakota",18
"G390","1935","Ohio","390",,"Ohio",56
"G400","1935","Oklahoma","400",,"Oklahoma",22
"G410","1935","Oregon","410",,"Oregon",26
"G420","1935","Pennsylvania","420",,"Pennsylvania",54
"G440","1935","Rhode Island","440",,"Rhode Island",115
"G450","1935","South Carolina","450",,"South Carolina",23
"G460","1935","South Dakota","460",,"South Dakota",19
"G470","1935","Tennessee","470",,"Tennessee",29
"G480","1935","Texas","480",,"Texas",19
"G490","1935","Utah","490",,"Utah",25
"G500","1935","Vermont","500",,"Vermont",29
"G510","1935","Virginia","510",,"Virginia",34
"G530","1935","Washington","530",,"Washington",38
"G540","1935","West Virginia","540",,"West Virginia",25
"G550","1935","Wisconsin","550",,"Wisconsin",53
"G560","1935","Wyoming","560",,"Wyoming",6
