GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1920","Alabama","010",,"Alabama",28
"G040","1920","Arizona","040",,"Arizona",30
"G050","1920","Arkansas","050",,"Arkansas",43
"G060","1920","California","060",,"California",105
"G080","1920","Colorado","080",,"Colorado",35
"G090","1920","Connecticut","090",,"Connecticut",100
"G100","1920","Delaware","100",,"Delaware",69
"G120","1920","Florida","120",,"Florida",47
"G130","1920","Georgia","130",,"Georgia",45
"G160","1920","Idaho","160",,"Idaho",69
"G170","1920","Illinois","170",,"Illinois",188
"G180","1920","Indiana","180",,"Indiana",126
"G190","1920","Iowa","190",,"Iowa",227
"G200","1920","Kansas","200",,"Kansas",62
"G210","1920","Kentucky","210",,"Kentucky",60
"G220","1920","Louisiana","220",,"Louisianna",47
"G230","1920","Maine","230",,"Maine",38
"G240","1920","Maryland","240",,"Maryland",81
"G250","1920","Massachusetts","250",,"Massachusetts",99
"G260","1920","Michigan","260",,"Michigan",75
"G270","1920","Minnesota","270",,"Minnesota",109
"G280","1920","Mississippi","280",,"Mississippi",43
"G290","1920","Missouri","290",,"Missouri",88
"G300","1920","Montana","300",,"Montana",22
"G310","1920","Nebraska","310",,"Nebraska",88
"G320","1920","Nevada","320",,"Nevada",28
"G330","1920","New Hampshire","330",,"New Hampshire",35
"G340","1920","New Jersey","340",,"New Jersey",110
"G350","1920","New Mexico","350",,"New Mexico",9
"G360","1920","New York","360",,"New York",69
"G370","1920","North Carolina","370",,"North Carolina",54
"G380","1920","North Dakota","380",,"North Dakota",41
"G390","1920","Ohio","390",,"Ohio",113
"G400","1920","Oklahoma","400",,"Oklahoma",43
"G410","1920","Oregon","410",,"Oregon",50
"G420","1920","Pennsylvania","420",,"Pennsylvania",75
"G440","1920","Rhode Island","440",,"Rhode Island",80
"G450","1920","South Carolina","450",,"South Carolina",65
"G460","1920","South Dakota","460",,"South Dakota",71
"G470","1920","Tennessee","470",,"Tennessee",53
"G480","1920","Texas","480",,"Texas",32
"G490","1920","Utah","490",,"Utah",48
"G500","1920","Vermont","500",,"Vermont",38
"G510","1920","Virginia","510",,"Virginia",55
"G530","1920","Washington","530",,"Washington",69
"G540","1920","West Virginia","540",,"West Virginia",43
"G550","1920","Wisconsin","550",,"Wisconsin",99
"G560","1920","Wyoming","560",,"Wyoming",20
